Page Views,Session Duration,Bounce Rate,Traffic Source,Time on Page,Previous Visits,Conversion Rate
5,11.05138124,0.230651937,Organic,3.89046007,3,1
4,3.429315699,0.391001334,Social,8.478174487,0,1
4,1.621052046,0.397986106,Organic,9.636169627,2,1
5,3.629278955,0.180457685,Organic,2.071924676,3,1
5,4.235843279,0.291540874,Paid,1.96065383,5,1
3,4.54186782,0.420740049,Social,3.438711548,2,1
5,1.949558016,0.034978157,Social,2.119271472,1,1
4,1.685739755,0.25234276,Paid,3.478015701,5,1
6,0.033268033,0.120702771,Organic,5.28551908,1,1
7,7.833741755,0.212726886,Paid,4.060115223,5,1
2,2.773784434,0.485767822,Direct,2.973652787,3,1
5,0.681281294,0.453890552,Referral,1.499008557,0,1
5,7.562350901,0.263551977,Social,9.688591918,0,1
6,7.392909563,0.263335944,Paid,4.981015475,2,1
4,13.58023187,0.320588094,Paid,5.802188906,3,1
6,6.21576716,0.296641006,Paid,10.02890318,2,1
6,18.3366796,0.337694551,Referral,2.984756678,0,1
1,0.841865914,0.249316381,Social,8.30362448,1,1
7,5.540223444,0.256684547,Paid,8.793492245,3,1
2,5.195296488,0.172977736,Paid,2.889980024,2,1
11,0.787760269,0.251640726,Organic,11.69293807,5,1
4,0.310877893,0.644309989,Organic,4.164912574,4,1
3,11.65038153,0.287329568,Direct,6.025224139,1,1
8,1.053035393,0.183589716,Organic,3.72750665,2,1
3,6.141313178,0.09314584,Social,5.083885619,2,1
3,0.012407085,0.118828262,Referral,1.336264957,3,1
5,0.063746928,0.056094122,Social,7.05303439,1,1
8,1.881355422,0.013264164,Direct,2.107742851,2,1
3,0.818241206,0.158098155,Referral,15.0222197,3,1
2,3.512013371,0.135033107,Social,1.552828446,0,0.963079669
5,2.501122171,0.12373095,Organic,3.296032106,2,1
3,0.241957522,0.444408206,Referral,2.638993032,2,0.868593275
8,0.53246165,0.250903219,Social,0.966023815,2,1
10,1.473310519,0.213485799,Organic,9.004402387,1,1
3,0.61592587,0.075536222,Referral,1.951268458,1,0.972276632
2,4.713860245,0.68193012,Social,3.869525945,4,1
5,1.613923709,0.368471727,Social,1.687480629,1,0.892856006
7,0.294267273,0.148310175,Organic,7.17173107,2,1
6,1.986939821,0.230326717,Referral,2.992466163,0,1
6,0.285696546,0.480492545,Organic,4.219468464,1,1
2,0.414123974,0.266410874,Referral,3.279772549,1,0.984004061
4,0.821770796,0.125454362,Paid,4.612913658,1,1
9,5.888235,0.293249096,Paid,8.652438902,0,1
7,7.755342687,0.460873286,Paid,3.300934784,1,1
11,5.250546843,0.288505451,Organic,5.276812813,2,1
8,1.219744672,0.613241098,Organic,3.061934986,0,1
3,0.954202987,0.401329736,Organic,1.425644129,1,0.962493642
2,2.389899634,0.189480814,Referral,4.23789787,2,1
3,3.838818316,0.189265462,Social,1.593548073,2,1
4,15.0497133,0.030525144,Organic,2.873870683,1,1
5,0.423207345,0.84493938,Organic,0.727810446,4,0.749203659
5,0.151644923,0.189229164,Paid,3.97019724,2,1
4,3.556001669,0.160529651,Referral,3.154549987,4,1
3,5.355408459,0.386124735,Organic,3.834073321,1,1
8,5.619210148,0.358929582,Organic,3.910938078,2,1
2,3.403933092,0.048201669,Organic,4.879187494,4,1
1,9.238372528,0.526355517,Organic,5.415281971,2,1
4,2.146207593,0.159205739,Organic,14.33851631,5,1
5,7.353770371,0.222896704,Organic,9.84027064,2,1
4,10.30849747,0.64639033,Referral,5.316899879,1,1
3,5.635041055,0.054179402,Referral,2.769737315,1,1
4,1.112141503,0.293753959,Organic,2.814258945,1,1
8,0.655272806,0.268241018,Referral,0.370603051,2,0.907349292
2,2.383016295,0.083114277,Paid,1.586549521,1,0.625293991
2,1.810000329,0.158092854,Direct,3.079790782,2,1
2,6.305266175,0.24901885,Organic,4.219020148,4,1
7,0.316187119,0.234216542,Referral,18.23996376,2,1
6,0.894167326,0.220051016,Referral,4.770245176,5,1
7,4.180548461,0.10362923,Organic,5.464398173,3,1
6,0.299416735,0.496233396,Direct,1.380698487,4,1
7,1.160361754,0.539858292,Paid,2.253880627,1,1
6,1.468931618,0.115187943,Referral,3.09611905,1,1
4,2.923299627,0.171382316,Organic,0.989993628,2,1
2,0.516398441,0.190188388,Organic,4.681621703,1,1
3,5.911319979,0.323885389,Paid,1.962131629,3,1
4,1.780134878,0.273503888,Organic,1.22331653,2,1
7,7.467528883,0.509321749,Paid,6.36347233,0,1
4,1.892601889,0.139796164,Organic,3.103389527,0,1
3,0.964917466,0.485452184,Referral,4.377897111,0,1
2,0.458855097,0.369618687,Paid,1.24304707,2,0.796755742
6,0.011256375,0.183126678,Organic,5.900334031,2,1
3,2.278870638,0.475960716,Referral,5.027113599,1,1
5,0.340032558,0.314158679,Paid,3.71491664,3,1
9,1.49139822,0.12497132,Organic,5.792328942,1,1
6,2.669470508,0.397080094,Organic,2.260658974,2,0.86876104
6,0.96759041,0.232242852,Organic,2.650401069,1,1
9,0.577931397,0.645710669,Organic,2.572884453,2,1
4,4.471255226,0.147181221,Direct,0.79193609,2,1
9,8.800592886,0.289880142,Paid,2.99751001,1,1
2,0.317549966,0.167140253,Organic,3.493775652,2,1
10,0.507352514,0.235484023,Organic,2.134253607,0,1
6,9.657576919,0.051086871,Organic,3.107007652,3,1
9,0.115549655,0.110023884,Paid,3.276242705,1,1
4,11.40041688,0.066918596,Organic,5.553548993,3,1
1,0.013965907,0.313361357,Paid,5.755733748,4,1
6,6.20654132,0.256338124,Organic,9.081799797,1,1
8,1.10158388,0.306808599,Social,2.270526196,5,1
6,8.370491992,0.296407906,Organic,7.478524876,0,1
2,1.143540954,0.38157368,Paid,6.619431042,3,1
3,3.186606655,0.068599468,Referral,1.121857386,3,1
5,0.250251034,0.045909719,Paid,6.971477092,2,1
3,0.832521286,0.283186624,Social,1.12639772,1,0.874484327
3,4.457407393,0.131191735,Referral,3.790101093,0,1
5,2.25669129,0.172712712,Paid,7.826826067,5,1
6,7.891978665,0.399818151,Paid,0.424393942,0,1
5,1.679792406,0.227532183,Direct,5.162229295,0,1
3,6.116335588,0.390992354,Referral,1.248632588,1,1
5,1.787818792,0.504288172,Direct,9.227409199,2,1
3,11.62537824,0.285231584,Organic,6.473043948,1,1
3,9.644231724,0.57390877,Paid,0.914021059,5,1
6,1.19756969,0.161777892,Direct,2.398132927,1,0.908835703
5,6.512662491,0.135113555,Organic,8.233772652,2,1
6,5.643963817,0.236755004,Direct,4.468721982,3,1
2,0.709751901,0.164526488,Organic,5.685964729,1,1
4,2.93681633,0.253042795,Direct,2.644228966,1,1
7,0.226377211,0.545753359,Paid,6.688997323,1,1
6,5.436695792,0.103671196,Organic,10.67944941,2,1
5,0.5754648,0.2566508,Social,1.421380169,1,1
4,0.220341299,0.449471114,Organic,2.521880288,2,1
3,1.533572549,0.317173009,Organic,4.47407384,2,1
3,2.580597142,0.187622049,Organic,3.058990148,4,1
7,5.791347003,0.194111552,Referral,4.398518979,1,1
7,10.97709127,0.443827605,Direct,5.067110645,3,1
6,1.736738034,0.199953158,Organic,3.072196814,3,1
6,0.1870529,0.219078217,Paid,2.179539054,3,1
7,4.14828876,0.270952874,Organic,3.784863276,3,1
8,2.498422852,0.304309187,Referral,1.0710392,0,1
6,1.782031239,0.055213692,Organic,1.987983514,0,1
3,1.110013939,0.21624186,Organic,2.725889502,2,1
7,2.093867337,0.05105229,Organic,3.551557937,2,1
5,1.24055053,0.113936326,Paid,8.767249214,0,1
5,4.244228026,0.211243916,Social,0.668978698,1,1
7,2.355088125,0.33060232,Paid,3.643817953,0,1
4,6.283002241,0.285993546,Organic,5.672679926,1,1
9,2.352788346,0.05622645,Paid,2.934160623,1,1
4,0.816459471,0.477294487,Social,2.252288265,0,1
5,5.713277468,0.198799077,Organic,3.275800365,1,1
2,2.444040268,0.334615418,Organic,2.296890371,2,1
6,0.695194863,0.146305967,Organic,1.492004578,5,1
3,2.930573927,0.315261031,Referral,1.815168733,0,1
6,1.328177689,0.51234922,Paid,1.844325298,0,0.932545459
2,5.58150821,0.278067379,Paid,14.26480293,3,1
3,1.811563785,0.157511195,Organic,4.103969067,6,1
5,3.888717802,0.142534674,Organic,3.141011093,2,1
3,0.301239017,0.228472732,Direct,1.556128492,1,1
4,1.512664171,0.276907423,Organic,9.791441186,1,1
5,12.26653769,0.085754623,Direct,5.452240456,1,1
6,4.957980379,0.176561263,Paid,5.936922227,2,1
3,0.522848749,0.528060406,Organic,8.897551138,2,1
3,0.976210177,0.194541316,Paid,2.310208059,1,1
4,1.200608077,0.031379666,Direct,9.049868247,0,1
5,3.152601387,0.139459572,Paid,4.376876323,2,1
4,4.24401681,0.246271411,Social,7.275034714,5,1
2,4.153207761,0.177797787,Organic,3.549808344,4,1
6,2.139278679,0.39945849,Paid,2.35352117,1,1
6,4.995177538,0.394311397,Social,5.883734969,3,1
8,1.723843053,0.021722598,Direct,1.346004107,2,1
1,0.396758569,0.254944949,Paid,5.419541377,2,1
6,2.493380843,0.115202968,Referral,0.207017382,3,1
2,9.128558726,0.104061662,Organic,0.846540305,1,1
5,4.72501745,0.593563627,Organic,1.740479856,6,1
2,2.593234942,0.156004809,Organic,3.016579317,5,1
6,3.122210509,0.113945985,Organic,6.081979543,2,1
4,8.001964201,0.322041648,Organic,1.934706396,3,1
3,1.677647275,0.48083391,Organic,4.803429497,2,1
5,1.207681617,0.094474674,Direct,3.116233382,0,1
6,11.3484583,0.123484979,Referral,7.008283027,0,1
3,5.97304244,0.294240023,Paid,1.586454442,1,1
4,1.170445162,0.631519875,Direct,2.664499798,3,1
8,1.869635605,0.303513565,Organic,8.023780429,2,1
4,1.608830984,0.565697582,Paid,1.436848946,2,0.824802799
10,0.484366763,0.642029922,Referral,5.274311468,4,1
4,9.497379219,0.328384314,Organic,0.557270606,0,1
5,1.554116888,0.376770582,Referral,8.505160283,2,1
10,6.246233023,0.184526614,Organic,1.756233587,0,1
3,0.629779699,0.419572941,Organic,1.909935826,7,1
4,2.381361968,0.141586658,Organic,1.046237142,1,0.993382912
7,0.072759387,0.126849172,Direct,5.003371014,1,1
5,4.334574493,0.450916934,Referral,3.83193797,4,1
10,2.60903666,0.167680215,Referral,1.523506714,3,1
4,2.947208139,0.311270313,Paid,3.342979663,2,1
2,0.159319177,0.390765774,Organic,13.33602859,1,1
3,0.71111262,0.173115824,Referral,6.910315317,1,1
5,0.231715265,0.099494056,Paid,7.983271936,2,1
8,1.022887033,0.036005997,Organic,1.864586258,1,1
4,2.96206355,0.139147026,Referral,1.628082142,3,1
3,2.505418116,0.651012607,Organic,0.663175408,2,1
8,2.841408456,0.141029221,Organic,4.301892388,0,1
6,2.390535712,0.044676581,Social,2.726465352,2,1
8,0.956605233,0.558240771,Referral,8.402272184,2,1
3,0.841156263,0.116204936,Referral,8.00141814,3,1
3,0.442229246,0.386555142,Paid,4.917496225,1,1
5,5.672834768,0.049907296,Organic,1.161455216,5,1
11,2.875085507,0.342330886,Referral,1.073812166,2,1
7,0.619268669,0.528105761,Referral,0.341887963,1,0.799929173
4,0.585160563,0.121313722,Paid,1.559234261,2,1
3,6.191545676,0.10249935,Direct,1.160473246,2,1
8,4.072897558,0.31506405,Direct,5.168079938,2,1
8,3.231131428,0.210062604,Paid,2.595962689,1,1
3,1.566995236,0.390915606,Social,2.170248239,1,1
3,0.911335033,0.494703788,Paid,3.120682956,2,1
6,11.65479442,0.278464813,Paid,3.519864491,3,1
2,4.787190508,0.525281156,Organic,2.014428472,4,1
7,1.077659781,0.442830952,Paid,2.683800535,1,1
5,5.643047001,0.105122621,Direct,5.53881741,1,1
5,4.268028043,0.24248273,Social,6.247581499,2,1
6,1.057538922,0.097318584,Social,1.141330562,0,0.937471179
1,1.668268522,0.384199575,Organic,2.918301478,3,0.962735154
10,0.617213167,0.338042743,Organic,9.027136636,4,1
2,0.353151113,0.24237833,Organic,9.169156549,2,1
5,3.848637163,0.182125074,Organic,8.427336657,2,1
4,0.933924377,0.171162763,Paid,4.560344051,4,1
5,5.145384877,0.153002285,Organic,2.794543368,0,1
4,16.28439777,0.283684418,Paid,0.408304231,2,1
5,0.23914268,0.11521874,Paid,1.388833392,1,0.780597527
6,1.921864151,0.199260327,Organic,3.167497505,1,1
1,4.859412763,0.125634099,Organic,5.672978403,0,1
3,4.666993364,0.643345941,Social,4.863526558,2,1
2,4.281313546,0.139822613,Organic,1.077954845,4,1
5,1.287713571,0.237531535,Organic,2.285622245,2,1
4,1.814602731,0.165928127,Social,8.674680382,2,1
7,2.711370255,0.380022629,Direct,2.900913518,0,1
7,10.9421283,0.321169119,Referral,4.910351437,3,1
2,1.190470384,0.610016719,Organic,2.395231542,1,0.989809721
6,7.697460831,0.308326964,Organic,0.633561235,3,1
7,0.941490596,0.254939341,Direct,3.961049127,6,1
2,13.54995784,0.148651125,Social,2.80017644,4,1
7,3.328385985,0.680795587,Paid,3.001540945,0,0.949344453
5,1.868130347,0.273163936,Organic,3.579698962,1,1
7,2.85101986,0.131587225,Organic,1.499107639,1,1
6,0.954552375,0.628660794,Organic,3.437920074,2,1
5,0.961334298,0.458857366,Referral,1.550935479,3,1
6,0.361607048,0.338964234,Organic,4.933953994,0,0.875163627
5,0.363285298,0.085323328,Direct,20.0212847,5,1
4,1.281622139,0.09780091,Organic,1.895128806,0,1
7,4.317256577,0.343015565,Referral,8.746138672,6,1
1,2.80925967,0.389264371,Organic,3.169156083,0,1
8,0.324709142,0.310863705,Paid,3.545783448,2,1
